PLAYER_ID,PLAYER,AVG_TTG_SG,AVG_Total_SG,AVG_Putting_SG,AVG_Scoring,TOTAL ROUNDS,AVG_Driver,%_FWY,%_GIR,VICTORIES,TOP 10
55454,Carl Yuan,-0.177,-0.807,-0.63,71.06,67,309.8,60.70137096774194,63.11,0,2
50497,Adrien Dumont de Chassart,-0.942,-1.207,-0.266,70.55,77,302.6,60.70137096774194,66.22,0,2
54421,Garrick Higgo,-0.649,-0.583,0.066,70.26,82,308.8,60.70137096774194,67.86,0,2
46717,Viktor Hovland,0.451,0.721,0.269,70.04,57,305.1,65.0,67.84,0,2
57900,Chandler Phillips,0.131,0.453,0.322,69.39,87,295.1,57.14,65.39,0,2
40115,Adam Svensson,0.547,0.1,-0.447,70.16,107,297.4,54.55,67.55,0,2
39975,Michael Kim,0.1,0.184,0.084,69.47,85,302.9,70.37,70.16,0,2
55708,Hayden Buckley,-0.462,-0.746,-0.284,71.0,74,298.0,60.70137096774194,65.81,0,2
54628,Lee Hodges,0.093,-0.209,-0.302,70.29,94,296.6,62.5,68.13,0,2
37378,Min Woo Lee,0.588,0.478,-0.11,70.06,70,314.8,60.70137096774194,65.4,0,2
46340,Alex Smalley,0.067,-0.351,-0.418,70.05,78,307.5,62.5,70.65,0,2
35617,Martin Trainer,-1.728,-1.381,0.347,71.46,50,302.2,60.70137096774194,62.11,0,1
37275,Sam Ryder,-0.295,-0.422,-0.127,70.27,79,292.8,54.55,67.85,0,1
48119,Ben Taylor,-1.18,-1.067,0.113,71.26,65,299.4,60.70137096774194,63.71,0,1
46113,Ryan McCormick,-0.955,-0.786,0.17,70.77,64,306.2,60.70137096774194,68.49,0,1
52666,Sami Valimaki,-0.272,-0.211,0.06,70.44,63,299.2,60.70137096774194,65.09,0,1
34374,Erik Barnes,-1.84,-1.868,-0.028,71.72,58,302.3,60.70137096774194,61.63,0,1
27129,Luke List,-0.306,-0.316,-0.01,70.36,77,304.7,53.57,67.97,0,1
37212,Paul Barjon,-1.745,-1.804,-0.059,71.7,57,313.0,60.70137096774194,63.0,0,1
47995,Davis Riley,-0.919,-0.63,0.289,70.45,76,303.6,53.49,64.31,1,1
50188,S.H. Kim,-0.668,-0.177,0.491,70.22,108,303.9,60.70137096774194,62.17,0,1
52374,Brandon Wu,-0.32,-0.458,-0.138,70.32,84,291.5,60.70137096774194,67.7,0,1
32102,Rickie Fowler,-0.346,-0.21,0.136,70.74,80,297.7,60.70137096774194,65.01,0,1
47983,Chad Ramey,-0.462,-0.057,0.406,70.08,86,293.9,53.57,68.81,0,1
46441,Robby Shelton,-0.388,-0.353,0.036,70.34,79,291.6,60.70137096774194,64.69,0,1
47347,Adam Schenk,-0.437,-0.411,0.026,70.75,95,302.1,53.57,65.16,0,1
28420,Ryan Brehm,-0.973,-1.336,-0.363,71.7,63,309.0,60.70137096774194,66.11,0,1
32640,Troy Merritt,0.088,-0.293,-0.381,70.36,77,292.8,60.70137096774194,66.07,0,1
34021,Bud Cauley,0.488,0.313,-0.175,69.74,54,299.7,60.71,70.58,0,1
52514,Trace Crowe,-0.148,-0.075,0.074,70.0,71,301.8,60.70137096774194,66.5,0,1
34076,Joel Dahmen,0.62,-0.073,-0.693,70.08,92,294.0,46.43,71.04,0,1
30163,Henrik Norlander,0.626,0.448,-0.178,69.26,66,295.3,75.0,71.72,0,1
47988,Nick Hardy,0.098,-0.093,-0.191,70.26,87,304.5,42.86,70.5,0,1
26476,Chez Reavie,0.094,-0.198,-0.292,70.35,72,287.8,60.70137096774194,69.12,0,1
28775,Nate Lashley,0.188,0.236,0.047,69.95,77,293.0,58.93,69.97,0,1
52453,Nicolai Højgaard,0.056,-0.176,-0.231,71.23,57,309.1,60.70137096774194,65.11,0,1
32367,Jorge Campillo,0.352,0.241,-0.11,69.92,52,296.7,60.70137096774194,66.35,0,1
26596,Ryan Moore,0.593,0.013,-0.58,70.4,75,288.3,60.70137096774194,68.83,0,1
51287,Ryo Hisatsune,0.206,0.271,0.065,69.68,88,295.4,55.36,70.44,0,1
31323,Gary Woodland,0.009,-0.22,-0.229,70.68,80,313.1,66.07,66.25,0,1
35310,Lanto Griffin,-0.004,-0.133,-0.129,69.96,76,304.8,39.29,72.53,0,1
48887,Matt Wallace,0.248,0.317,0.069,69.57,67,298.7,60.70137096774194,69.53,0,1
50095,Austin Smotherman,0.665,0.108,-0.557,69.92,53,299.8,60.70137096774194,73.17,0,1
27214,Kevin Streelman,-0.033,-0.238,-0.205,70.28,72,297.5,64.29,68.12,0,1
59095,Chris Gotterup,-0.056,-0.139,-0.083,70.15,74,316.2,59.09,67.68,1,1
54783,Dylan Wu,-0.059,0.045,0.103,70.06,83,295.6,60.70137096774194,68.13,0,1
59442,Parker Coody,-0.066,-0.289,-0.223,70.41,58,303.9,60.70137096774194,66.06,0,1
29535,Brice Garnett,0.275,-0.15,-0.424,69.81,48,289.2,75.0,71.06,1,1
23108,Matt Kuchar,-0.107,0.245,0.351,70.29,76,288.3,67.86,66.44,0,1
28252,Seamus Power,0.336,0.377,0.041,69.66,96,300.3,28.57,67.88,0,1
27064,Jhonattan Vegas,0.846,0.565,-0.28,69.29,75,313.9,61.02,72.3,1,1
39327,Ben Silverman,0.167,0.717,0.55,69.41,81,293.9,57.14,70.09,0,1
33968,Thorbjørn Olesen,-0.15,0.101,0.251,70.63,48,302.1,60.70137096774194,63.77,0,0
22371,Aaron Baddeley,-0.986,-0.499,0.487,70.76,76,283.4,54.72,63.39,0,0
33408,Tyson Alexander,-1.197,-0.883,0.314,70.99,78,303.3,60.70137096774194,63.19,0,0
27770,Camilo Villegas,-1.268,-1.988,-0.72,71.7,61,284.9,51.85,66.28,0,0
27649,Brandt Snedeker,-1.311,-1.164,0.147,71.56,61,281.0,66.07,63.7,0,0
55789,Taylor Montgomery,-1.57,-0.704,0.866,70.71,58,289.7,42.86,60.49,0,0
34255,Joseph Bramlett,0.688,0.216,-0.472,69.89,87,311.0,60.70137096774194,69.91,0,0
29478,Kevin Kisner,-1.796,-1.691,0.105,71.81,57,282.8,60.70137096774194,62.35,0,0
60767,Blaine Hale Jr.,-1.201,-1.388,-0.187,71.44,55,307.1,60.70137096774194,65.28,0,0
56149,Wilson Furr,-0.526,-0.55,-0.024,70.9,59,311.7,60.70137096774194,66.47,0,0
50493,Justin Suh,-0.914,-0.324,0.589,70.35,77,300.2,60.70137096774194,67.04,0,0
48699,Callum Tarren,-0.618,-1.247,-0.629,71.11,73,306.9,60.70137096774194,66.43,0,0
27330,Josh Teater,-0.559,-1.421,-0.862,71.38,55,298.1,60.70137096774194,68.38,0,0
52372,Cameron Champ,-0.47,-0.16,0.31,70.4,60,322.8,60.70137096774194,68.32,0,0
29221,Webb Simpson,0.155,-0.144,-0.299,70.78,51,300.2,58.18,61.76,0,0
23320,Ryan Palmer,-0.461,-0.875,-0.414,71.02,45,298.8,53.57,63.23,0,0
48319,Tom Whitney,0.035,-0.602,-0.637,70.66,71,296.5,60.70137096774194,69.2,0,0
51070,Vincent Norrman,-0.42,-1.374,-0.954,71.73,49,311.0,55.36,68.25,0,0
45609,Tyler Duncan,-0.4,-0.625,-0.224,70.58,74,297.6,60.70137096774194,67.62,0,0
32366,Kevin Chappell,-0.357,-0.299,0.058,70.16,56,300.7,60.70137096774194,68.25,0,0
60004,Jacob Bridgeman,-0.027,0.557,0.584,69.32,82,300.6,50.0,68.38,0,0
24024,Zach Johnson,-0.103,0.318,0.42,69.96,52,284.1,69.64,66.2,0,0
33486,Roger Sloan,-0.111,0.069,0.181,70.35,69,293.2,60.70137096774194,67.34,0,0
47663,Kevin Dougherty,-0.124,-0.539,-0.414,70.72,65,316.8,60.70137096774194,68.82,0,0
47806,Raul Pereda,-2.02,-1.879,0.142,72.1,50,290.1,60.70137096774194,57.33,0,0
